obsDate;name;openValue;closeValue;higherValue;lowerValue;volume;marketType;currency
05/01/2022;Apple;179,610;174,920;180,170;174,640;94537600,000;1;1
05/01/2022;Facebook;333,020;324,170;335,760;323,840;20564520,000;1;1
05/01/2022;Google;2888,400;2755,500;2889,988;2753,760;2730914,000;1;1
05/01/2022;Microsoft;325,860;316,380;326,070;315,980;40054330,000;1;1
05/01/2022;Tesla;1146,650;1088,120;1170,340;1081,010;26706600,000;1;1
04/01/2022;Apple;182,630;179,700;182,940;179,120;99310440,000;1;1
04/01/2022;Facebook;339,950;336,530;343,085;331,871;15997970,000;1;1
04/01/2022;Google;2907,920;2887,990;2929,698;2874,325;1419972,000;1;1
04/01/2022;Microsoft;334,830;329,010;335,200;326,120;32674310,000;1;1
04/01/2022;Tesla;1189,550;1149,590;1208,000;1123,050;33416090,000;1;1
03/01/2022;Apple;177,830;182,010;182,880;177,710;104701200,000;1;1
03/01/2022;Facebook;338,295;338,540;341,082;337,190;14562850,000;1;1
03/01/2022;Google;2901,100;2899,830;2917,020;2874,255;1433947,000;1;1
03/01/2022;Microsoft;335,350;334,750;338,000;329,780;28918010,000;1;1
03/01/2022;Tesla;1147,750;1199,780;1201,070;1136,040;34895350,000;1;1
31/12/2021;Apple;178,085;177,570;179,230;177,260;64062260,000;1;1
31/12/2021;Facebook;343,015;336,350;343,440;336,270;12870480,000;1;1
31/12/2021;Google;2921,000;2897,040;2933,970;2897,040;906759,000;1;1
31/12/2021;Microsoft;338,510;336,320;339,355;335,850;18000800,000;1;1
31/12/2021;Tesla;1073,444;1056,780;1082,000;1054,590;13577880,000;1;1
30/12/2021;Apple;179,470;178,200;180,570;178,090;59773010,000;1;1
30/12/2021;Facebook;344,000;344,360;347,230;343,220;10593350,000;1;1
30/12/2021;Google;2933,880;2924,010;2946,000;2919,890;784386,000;1;1
30/12/2021;Microsoft;341,910;339,320;343,130;338,820;15994470,000;1;1
30/12/2021;Tesla;1061,330;1070,340;1095,550;1053,150;15680310,000;1;1
29/12/2021;Apple;179,330;179,380;180,630;178,140;62348930,000;1;1
29/12/2021;Facebook;346,910;342,940;349,690;341,640;10747010,000;1;1
29/12/2021;Google;2932,886;2933,100;2948,340;2912,950;889373,000;1;1
29/12/2021;Microsoft;341,300;341,950;344,300;339,680;15041960,000;1;1
29/12/2021;Tesla;1098,640;1086,190;1104,000;1064,140;18718020,000;1;1
28/12/2021;Apple;180,160;179,290;181,330;178,530;79144340,000;1;1
28/12/2021;Facebook;346,630;346,220;352,710;345,200;16637610,000;1;1
28/12/2021;Google;2964,720;2933,740;2965,980;2921,086;912715,000;1;1
28/12/2021;Microsoft;343,150;341,250;343,810;340,320;15661470,000;1;1
28/12/2021;Tesla;1109,490;1088,470;1119,000;1078,420;20107970,000;1;1
27/12/2021;Apple;177,085;180,330;180,420;177,070;74919580,000;1;1
27/12/2021;Facebook;338,845;346,180;347,870;338,010;17795030,000;1;1
27/12/2021;Google;2945,120;2958,130;2966,880;2943,385;799223,000;1;1
27/12/2021;Microsoft;335,460;342,450;342,480;335,430;19947030,000;1;1
27/12/2021;Tesla;1073,670;1093,940;1117,000;1070,715;23715270,000;1;1
23/12/2021;Apple;175,850;176,280;176,850;175,270;68356570,000;1;1
23/12/2021;Facebook;330,100;335,240;336,670;328,360;13987700,000;1;1
23/12/2021;Google;2930,000;2938,330;2964,870;2929,040;1319172,000;1;1
23/12/2021;Microsoft;332,750;334,690;336,390;332,730;19617850,000;1;1
23/12/2021;Tesla;1006,800;1067,000;1072,977;997,560;30904430,000;1;1
22/12/2021;Apple;173,040;175,640;175,860;172,150;92135300,000;1;1
22/12/2021;Facebook;333,800;330,450;334,510;328,260;16764570,000;1;1
22/12/2021;Google;2861,350;2928,300;2930,000;2861,350;1316119,000;1;1
22/12/2021;Microsoft;328,300;333,200;333,605;325,750;24831490,000;1;1
22/12/2021;Tesla;965,660;1008,870;1015,660;957,050;31211360,000;1;1
21/12/2021;Apple;171,555;172,990;173,200;169,120;91185910,000;1;1
21/12/2021;Facebook;326,410;334,200;336,000;323,750;16116780,000;1;1
21/12/2021;Google;2841,070;2869,450;2877,380;2810,050;1437768,000;1;1
21/12/2021;Microsoft;323,290;327,290;327,730;319,800;24740600,000;1;1
21/12/2021;Tesla;916,870;938,530;939,500;886,120;23839310,000;1;1
20/12/2021;Apple;168,280;169,750;170,580;167,460;107499100,000;1;1
20/12/2021;Facebook;329,775;325,450;329,900;322,530;17901780,000;1;1
20/12/2021;Google;2800,000;2832,140;2835,490;2786,420;1359618,000;1;1
20/12/2021;Microsoft;320,050;319,910;322,800;317,570;28326530,000;1;1
20/12/2021;Tesla;910,700;899,940;921,688;893,390;18826670,000;1;1
17/12/2021;Apple;169,930;171,140;173,470;169,690;195923400,000;1;1
17/12/2021;Facebook;332,795;333,790;337,110;330,750;40012640,000;1;1
17/12/2021;Google;2850,000;2834,500;2876,690;2826,000;2550894,000;1;1
17/12/2021;Microsoft;320,880;323,800;324,920;317,250;47983710,000;1;1
17/12/2021;Tesla;914,770;932,570;960,660;909,040;33626750,000;1;1
16/12/2021;Apple;179,280;172,260;181,140;170,750;150185800,000;1;1
16/12/2021;Facebook;338,980;334,900;344,460;333,740;22635030,000;1;1
16/12/2021;Google;2943,410;2888,900;2953,535;2872,140;1682519,000;1;1
16/12/2021;Microsoft;335,710;324,900;336,760;323,020;35034830,000;1;1
16/12/2021;Tesla;994,500;926,920;994,980;921,850;27590480,000;1;1
15/12/2021;Apple;175,110;179,300;179,500;172,311;131063300,000;1;1
15/12/2021;Facebook;332,494;341,660;342,110;323,980;24681330,000;1;1
15/12/2021;Google;2868,180;2928,820;2934,420;2833,558;1818523,000;1;1
15/12/2021;Microsoft;328,610;334,650;335,190;324,500;35381120,000;1;1
15/12/2021;Tesla;953,210;975,990;978,750;928,250;25056410,000;1;1
14/12/2021;Apple;175,250;174,330;177,740;172,210;139380400,000;1;1
14/12/2021;Facebook;328,050;333,740;335,700;327,650;20461020,000;1;1
14/12/2021;Google;2879,360;2878,140;2889,600;2824,295;1922312,000;1;1
14/12/2021;Microsoft;333,220;328,340;334,640;324,110;44438700,000;1;1
14/12/2021;Tesla;945,000;958,510;966,410;930,000;23602090,000;1;1
13/12/2021;Apple;181,115;175,740;182,130;175,530;153237000,000;1;1
13/12/2021;Facebook;330,950;334,490;341,090;329,590;22948660,000;1;1
13/12/2021;Google;2955,630;2916,530;2959,400;2910,350;1353470,000;1;1
13/12/2021;Microsoft;340,680;339,400;343,790;339,080;28899430,000;1;1
13/12/2021;Tesla;1001,090;966,410;1005,000;951,420;26198500,000;1;1
11/12/2021;Microsoft;333,920;336,720;337,230;333,790;23831050,000;1;1
10/12/2021;Apple;175,205;179,450;179,630;174,690;115402700,000;1;1
